datetime	web1 hit rate
2011/04/22 17:32:00	2361.167
2011/04/22 17:32:30	2548.867
2011/04/22 17:33:00	2387.133
2011/04/22 17:33:30	2469.8
2011/04/22 17:34:00	2413.267
2011/04/22 17:34:30	2343.5
2011/04/22 17:35:00	2424.2
2011/04/22 17:35:30	2418.233
2011/04/22 17:36:00	2238.067
2011/04/22 17:36:30	2395.667
2011/04/22 17:37:00	2320.7
2011/04/22 17:37:30	2473.033
2011/04/22 17:38:00	2348.067
2011/04/22 17:38:30	2317.133
2011/04/22 17:39:00	2394.4
2011/04/22 17:39:30	2272.2
2011/04/22 17:40:00	2329.1
2011/04/22 17:40:30	2357.2
2011/04/22 17:41:00	2343.9
2011/04/22 17:41:30	2429.4
2011/04/22 17:42:00	1916.833
2011/04/22 17:42:30	1385.5
2011/04/22 17:43:00	1400.267
2011/04/22 17:43:30	1446.967
2011/04/22 17:44:00	1454.533
2011/04/22 17:44:30	1384.033
2011/04/22 17:45:00	1295.733
2011/04/22 17:45:30	1313.567
2011/04/22 17:46:00	1383.2
2011/04/22 17:46:30	1441.4
2011/04/22 17:47:00	1455.267
2011/04/22 17:47:30	1411.967
2011/04/22 17:48:00	1391.867
2011/04/22 17:48:30	1338
2011/04/22 17:49:00	1427.467
2011/04/22 17:49:30	1389.867
2011/04/22 17:50:00	1458.267
2011/04/22 17:50:30	1390.767
2011/04/22 17:51:00	1376.033
2011/04/22 17:51:30	1299.967
2011/04/22 17:52:00	1332.1
2011/04/22 17:52:30	1430.333
2011/04/22 17:53:00	1424.667
2011/04/22 17:53:30	788.733
2011/04/22 17:54:00	617.2
2011/04/22 17:54:30	621.633
2011/04/22 17:55:00	536.2
2011/04/22 17:55:30	520.4
2011/04/22 17:56:00	536.6
2011/04/22 17:56:30	568.8
2011/04/22 17:57:00	544.9
2011/04/22 17:57:30	563.133
2011/04/22 17:58:00	525.533
2011/04/22 17:58:30	563.133
2011/04/22 17:59:00	557.233
2011/04/22 17:59:30	588.6
2011/04/22 18:00:00	527.267
2011/04/22 18:00:30	532.7
2011/04/22 18:01:00	566.533
2011/04/22 18:01:30	530.333
2011/04/22 18:02:00	502.833
2011/04/22 18:02:30	479.9
2011/04/22 18:03:00	429.933
2011/04/22 18:03:30	482.133
2011/04/22 18:04:00	517.167
2011/04/22 18:04:30	569.367
2011/04/22 18:05:00	684.833
2011/04/22 18:05:30	596.433
2011/04/22 18:06:00	504.4
2011/04/22 18:06:30	454.733
2011/04/22 18:07:00	458.967
2011/04/22 18:07:30	516.4
2011/04/22 18:08:00	630.533
2011/04/22 18:08:30	618.433
2011/04/22 18:09:00	535.433
2011/04/22 18:09:30	510
2011/04/22 18:10:00	505.067
2011/04/22 18:10:30	510.433
2011/04/22 18:11:00	549.7
2011/04/22 18:11:30	556.233
2011/04/22 18:12:00	449.367
2011/04/22 18:12:30	368.8
2011/04/22 18:13:00	273.933
2011/04/22 18:13:30	267.7
2011/04/22 18:14:00	269.533
2011/04/22 18:14:30	156.8
2011/04/22 18:15:00	62.967
2011/04/22 18:15:30	41.1
2011/04/22 18:16:00	14.2
2011/04/22 18:16:30	1.333
